Date,Cons,Irradiacao,PV_Out,Surplus
2018-01-05 01:00:00,77.25,0.0,0.0,-77.25
2018-01-05 02:00:00,77.5,0.0,0.0,-77.5
2018-01-05 03:00:00,76.5,0.0,0.0,-76.5
2018-01-05 04:00:00,75.75,0.0,0.0,-75.75
2018-01-05 05:00:00,77.0,0.0,0.0,-77.0
2018-01-05 06:00:00,80.5,0.0,0.0,-80.5
2018-01-05 07:00:00,100.0,0.125,76.89656249999999,-23.103437500000013
2018-01-05 08:00:00,141.75,0.335,206.08278750000002,64.33278750000002
2018-01-05 09:00:00,170.25,0.409,251.6055525,81.35555249999999
2018-01-05 10:00:00,203.75,0.442,271.906245,68.15624500000001
2018-01-05 11:00:00,218.5,0.449,276.2124524999999,57.71245249999993
2018-01-05 12:00:00,219.25,0.429,263.90900249999993,44.65900249999993
2018-01-05 13:00:00,213.5,0.407,250.37520749999996,36.87520749999996
2018-01-05 14:00:00,225.75,0.373,229.4593425,3.709342499999991
2018-01-05 15:00:00,226.0,0.242,148.87174499999998,-77.12825500000002
2018-01-05 16:00:00,217.75,0.007,4.306207499999999,-213.4437925
2018-01-05 17:00:00,199.25,0.0,0.0,-199.25
2018-01-05 18:00:00,168.0,0.0,0.0,-168.0
2018-01-05 19:00:00,139.25,0.0,0.0,-139.25
2018-01-05 20:00:00,112.75,0.0,0.0,-112.75
2018-01-05 21:00:00,98.25,0.0,0.0,-98.25
2018-01-05 22:00:00,89.0,0.0,0.0,-89.0
2018-01-05 23:00:00,85.0,0.0,0.0,-85.0
2018-01-06 00:00:00,81.5,0.0,0.0,-81.5
2018-01-06 01:00:00,80.0,0.0,0.0,-80.0
2018-01-06 02:00:00,78.25,0.0,0.0,-78.25
2018-01-06 03:00:00,77.5,0.0,0.0,-77.5
2018-01-06 04:00:00,76.0,0.0,0.0,-76.0
2018-01-06 05:00:00,73.75,0.0,0.0,-73.75
2018-01-06 06:00:00,73.25,0.0,0.0,-73.25
2018-01-06 07:00:00,77.25,0.125,76.89656249999999,-0.3534375000000125
2018-01-06 08:00:00,82.25,0.335,206.08278750000002,123.83278750000002
2018-01-06 09:00:00,86.0,0.409,251.6055525,165.6055525
2018-01-06 10:00:00,90.25,0.442,271.906245,181.656245
2018-01-06 11:00:00,96.75,0.449,276.2124524999999,179.46245249999993
2018-01-06 12:00:00,94.75,0.429,263.90900249999993,169.15900249999993
2018-01-06 13:00:00,93.0,0.407,250.37520749999996,157.37520749999996
2018-01-06 14:00:00,95.5,0.373,229.4593425,133.9593425
2018-01-06 15:00:00,95.0,0.242,148.87174499999998,53.871744999999976
2018-01-06 16:00:00,93.0,0.007,4.306207499999999,-88.6937925
2018-01-06 17:00:00,93.25,0.0,0.0,-93.25
2018-01-06 18:00:00,94.75,0.0,0.0,-94.75
2018-01-06 19:00:00,91.75,0.0,0.0,-91.75
2018-01-06 20:00:00,88.0,0.0,0.0,-88.0
2018-01-06 21:00:00,83.5,0.0,0.0,-83.5
2018-01-06 22:00:00,84.25,0.0,0.0,-84.25
2018-01-06 23:00:00,83.0,0.0,0.0,-83.0
2018-01-07 00:00:00,82.25,0.0,0.0,-82.25
2018-01-07 01:00:00,80.75,0.0,0.0,-80.75
2018-01-07 02:00:00,81.75,0.0,0.0,-81.75
2018-01-07 03:00:00,80.75,0.0,0.0,-80.75
2018-01-07 04:00:00,80.0,0.0,0.0,-80.0
2018-01-07 05:00:00,79.5,0.0,0.0,-79.5
2018-01-07 06:00:00,78.75,0.0,0.0,-78.75
2018-01-07 07:00:00,77.75,0.125,76.89656249999999,-0.8534375000000125
2018-01-07 08:00:00,76.75,0.335,206.08278750000002,129.33278750000002
2018-01-07 09:00:00,75.5,0.409,251.6055525,176.1055525
2018-01-07 10:00:00,75.25,0.442,271.906245,196.656245
2018-01-07 11:00:00,76.0,0.449,276.2124524999999,200.21245249999993
2018-01-07 12:00:00,79.5,0.429,263.90900249999993,184.40900249999993
2018-01-07 13:00:00,79.25,0.407,250.37520749999996,171.12520749999996
2018-01-07 14:00:00,82.25,0.373,229.4593425,147.2093425
2018-01-07 15:00:00,87.0,0.242,148.87174499999998,61.871744999999976
2018-01-07 16:00:00,89.25,0.007,4.306207499999999,-84.9437925
2018-01-07 17:00:00,92.25,0.0,0.0,-92.25
2018-01-07 18:00:00,94.75,0.0,0.0,-94.75
2018-01-07 19:00:00,90.5,0.0,0.0,-90.5
2018-01-07 20:00:00,86.75,0.0,0.0,-86.75
2018-01-07 21:00:00,85.75,0.0,0.0,-85.75
2018-01-07 22:00:00,85.25,0.0,0.0,-85.25
2018-01-07 23:00:00,83.75,0.0,0.0,-83.75
2018-01-08 00:00:00,82.25,0.0,0.0,-82.25
